annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,var_05,skewness,start,end
0.0599093238463595,0.053765457577439744,1.1091896302182687,1.3461450225918496,0.06256503324638119,-0.9575528172491573,-0.005376567991169977,-0.8767053045386648,2017-01-06,2020-01-08
0.03141287282760885,0.08531912797301695,0.4052223469109292,0.4544753885855555,0.13572918056483263,-0.23143787280587114,-0.007129869044589983,-0.47391482639044263,2017-04-07,2020-04-08
0.038911539125283,0.09886736306259891,0.4355961393191051,0.4941569794845814,0.13572918056483238,-0.2866851399481965,-0.010274477979591835,-0.4118976117132644,2017-07-10,2020-07-09
0.04226782631463877,0.10339529706528236,0.4521512964418883,0.5304280218047872,0.13572918056483269,-0.3114129632164767,-0.010430833406432749,-0.40386337392119515,2017-10-06,2020-10-07
0.023933683256047278,0.10888355049864855,0.27175491886632414,0.3180519848219648,0.13572918056483227,-0.17633410263325902,-0.010495192129629629,-0.5863872790599709,2018-01-08,2021-01-07
0.009981285152002917,0.10955385702466504,0.14551715210936997,0.1716548292003476,0.13572918056483246,-0.07353824071188031,-0.010573735780423279,-0.5667648767217867,2018-04-10,2021-04-09
0.025237952075661374,0.11076680612399478,0.28049398378067586,0.3337677243221347,0.13572918056483269,-0.18594344982143438,-0.010641841693299244,-0.563076164667672,2018-07-10,2021-07-09
0.036963024207333106,0.11230661357500824,0.3794422535214642,0.45820386047544204,0.13572918056483219,-0.27232923718770563,-0.010641841693299244,-0.5510595275710992,2018-10-08,2021-10-07
0.07964510924819601,0.11300957008125152,0.7347875013479388,0.8808151503122541,0.13572918056483244,-0.5867942981513301,-0.010573735780423279,-0.5716909158376416,2019-01-09,2022-01-06
0.07196303574449336,0.11572426135418065,0.6585048875729279,0.8177470476833042,0.1357291805648327,-0.5301957577952026,-0.010905944326699404,-0.5231154743408557,2019-04-10,2022-04-07
0.05194118465668729,0.11793083176074631,0.48845464339277783,0.6176628583364389,0.1357291805648324,-0.3826825185309143,-0.011371941789577115,-0.4899537537375198,2019-07-11,2022-07-11
0.07198515502144232,0.11825755437462598,0.6470769021101029,0.8211418039201489,0.13572918056483246,-0.5303587240553468,-0.011371941789577115,-0.49624684953155207,2019-10-09,2022-10-07
0.08434597456556614,0.1200715458838475,0.7346144890513041,0.948343062473057,0.13572918056483277,-0.6214284519700405,-0.011606029601024415,-0.4977217709487914,2020-01-09,2023-01-09
0.10381502457634206,0.10143951967772703,1.0246782042539488,1.3663826673802495,0.1262268603872532,-0.8224479659705268,-0.010337669042627532,-0.663057665562423,2020-04-09,2023-04-11
0.1059486469149804,0.08913838961386385,1.1745987532394786,1.5811123865570056,0.12622686038725275,-0.8393510429550367,-0.008790843440189463,-0.8033816647896512,2020-07-10,2023-07-12
0.10983664302625873,0.08529171683120337,1.264793976956343,1.699419149133914,0.126226860387253,-0.870152697209528,-0.008010382364876372,-0.8242705024856575,2020-10-08,2023-10-10
0.13894582840575143,0.0804930854592201,1.6569611583913633,2.4582066095166555,0.08550048124691739,-1.6250882612518738,-0.007898627784063438,-0.32038692144654785,2021-01-08,2024-01-10
0.17594733140280594,0.07849852213807533,2.104537128769468,3.3228834530102094,0.08090496340774829,-2.1747408810515005,-0.00753534976785734,-0.18190892892394903,2021-04-12,2024-04-11
0.15512836443843359,0.0790836016941929,1.8635600647740498,2.797700647874751,0.0809049634077479,-1.9174146789562436,-0.007777991914686456,-0.2929502313395041,2021-07-12,2024-07-12
0.16937720680844204,0.07862042887858241,2.0301040457265875,3.0371870375408925,0.08090496340774836,-2.0935329511838154,-0.007658587882861919,-0.30478013346461336,2021-10-08,2024-10-10
